track             banking   circum    speed
ATLANTA                24     1.54  197.478
BRISTOL                36     0.53  128.709
CALIFORNIA             14        2  187.432
CHICAGOLAND            18      1.5  188.147
DARLINGTON             24     1.37  173.797
DAYTONA                31      2.5  210.364
DOVER                  24        1  161.522
HOMESTEAD              19      1.5  181.111
INDIANAPOLIS           9      2.5  186.293
KANSAS                 15      1.5  176.449
VEGAS                  20      1.5  172.563
LOWES                  24      1.5  186.034
MARTINSVILLE           12     0.53   95.371
MICHIGAN               18        2  194.232
NEWHAMPSHIRE           4.5     1.06  132.089
NORTHCAROLINA          23     1.02  158.035
PHOENIX                10        1  134.718
POCONO                 9      2.5  172.391
RICHMOND               14     0.75  126.499
TALLADEGA              33     2.66  212.809
TEXAS                  24      1.5  192.137
